Date,Open,High,Low,Close,Volume,twitter_sentiment,news_sentiment
2015-05-25,49.535999,50.574001,49.009998,50.16,71717500,0.34,0.7249666666666666
2015-06-01,50.282001,50.32,49.136002,49.827999,59485000,0.7906,-0.10873333333333335
2015-06-08,50.169998,51.75,49.700001,50.138,72745000,0.4926,0.06555
2015-06-15,49.939999,52.872002,49.202,52.501999,74647500,0.721,0.1366
2015-06-22,52.43,54.282001,51.138,53.417999,87659000,0.4939,-0.13791111111111112
2015-06-29,52.389999,56.490002,52.139999,56.004002,79154500,0.0,0.0
2015-07-06,55.776001,56.338001,50.862,51.830002,111965500,0.0258,0.16463333333333333
2015-07-13,52.450001,55.108002,51.209999,54.931999,67548000,0.0,0.0258
2015-07-20,55.0,57.330002,52.172001,53.082001,96279500,0.13005,-0.4939
2015-07-27,52.486,53.872002,50.158001,53.23,78186500,0.13005,0.07371666666666665
2015-08-03,53.257999,54.200001,47.223999,48.501999,154087500,-0.022,-0.0086
2015-08-10,47.630001,49.585999,46.548,48.630001,106164000,0.0,-0.15794999999999998
2015-08-17,51.112,52.189999,46.102001,46.153999,132360000,0.0,0.30360000000000004
2015-08-24,40.557999,50.290001,39.0,49.695999,160208000,0.0673333333333333,0.1558
2015-08-31,49.124001,50.990002,47.394001,48.386002,113341000,0.0673333333333333,0.32001666666666667
2015-09-07,49.009998,50.849998,48.810001,50.048,57944000,0.4092333333333333,0.1591
2015-09-14,50.220001,53.099998,49.900002,52.124001,87952000,0.4092333333333333,0.2263
2015-09-21,52.796001,54.313999,51.16,51.382,98035000,0.5130250000000001,0.0
2015-09-28,51.470001,51.958,46.986,49.514,112654500,-0.04745416666666666,0.09116666666666667
2015-10-05,49.768002,49.967999,43.672001,44.138,140103500,0.298575,0.24215555555555557
2015-10-12,44.598,46.096001,42.226002,45.402,96454500,0.38444999999999996,0.17771250000000002
2015-10-19,45.299999,46.23,40.400002,41.818001,143100500,0.4108958333333333,-0.19063333333333332
2015-10-26,42.276001,43.419998,40.778,41.386002,79416500,0.5089291666666667,0.5343333333333333
2015-11-02,41.784,46.916,41.444,46.472,159644500,0.1691,0.0198
2015-11-09,46.598,46.598,41.304001,41.438,90809500,0.2171666666666667,0.0
2015-11-16,41.217999,45.237999,41.16,44.001999,73955500,0.2171666666666667,0.0
2015-11-23,43.470001,46.450001,42.936001,46.321999,54733500,0.2907,0.1177
2015-11-30,46.358002,47.720001,45.532001,46.076,74442500,0.3052333333333333,0.09814999999999999
2015-12-07,45.540001,47.125999,43.327999,43.403999,71150000,0.18416666666666667,-0.017009999999999997
2015-12-14,43.501999,47.551998,42.973999,46.091999,82443000,-0.02785,0.4599666666666667
2015-12-21,46.338001,47.310001,45.625999,46.113998,30888500,0.09340625,0.5106
2015-12-28,46.298,48.726002,45.108002,48.001999,53602500,-0.2202,0.3454
2016-01-04,46.144001,46.276001,42.153999,42.200001,104877000,-0.2202,0.0
2016-01-11,42.801998,42.889999,38.675999,40.998001,116895000,-0.2202,0.12346000000000001
2016-01-18,41.742001,42.094002,38.25,40.509998,80838000,0.4623,0.1170666666666667
2016-01-25,40.012001,40.714001,36.481998,38.240002,93626000,-0.212,0.6249
2016-02-01,37.751999,39.903999,31.548,32.52,164128000,-0.212,-0.14049999999999999
2016-02-08,31.42,32.652,28.209999,30.208,249296500,0.22751666666666664,-0.4215
2016-02-15,31.74,34.59,30.822001,33.316002,91330000,0.38236249999999994,0.0
2016-02-22,34.023998,38.400002,33.568001,38.068001,141279500,0.19125,0.2023
2016-02-29,38.48,40.806,36.299999,40.208,136958500,-0.14375625,0.4019
2016-03-07,39.535999,42.658001,39.48,41.5,106261500,0.1826333333333333,0.41325
2016-03-14,42.529999,46.896,42.127998,46.548,96288000,0.1591,0.4404
2016-03-21,47.068001,47.976002,43.0,45.549999,97667500,0.3183932792207792,0.3186866666666667
2016-03-28,46.321999,49.580002,45.0,47.518002,179917000,0.3183932792207792,0.3186866666666667
2016-04-04,49.824001,53.868,48.0,50.014,256748000,0.08471202380952383,0.2549
2016-04-11,50.200001,51.798,48.726002,50.902,138675500,0.5308999999999999,0.0
2016-04-18,50.445999,51.661999,48.25,50.75,111962000,0.27738999999999997,0.3497666666666667
2016-04-25,50.602001,51.476002,47.562,48.152,90163500,-0.05665000000000005,-0.18412499999999998
